id,name,designation,company
511,Anup Kumar Sinha,Non Exe.Ind.Chairman,bandhanbank
512,Ranodeb Roy,Non Exe.Non Ind.Director,bandhanbank
513,Allamraju Subramanyu Ramasastri,Independent Director,bandhanbank
514,Vijay N Bhatt,Independent Director,bandhanbank
515,Snehomoy Bhattacharya,Independent Director,bandhanbank
516,Suhail Chander,Independent Director,bandhanbank
517,Chandra Shekhar Ghosh,Managing Director & CEO,bandhanbank
518,Thekedathumadam Subramani Raji Gain,Independent Director,bandhanbank
519,N V P Tendulkar,Independent Director,bandhanbank
520,Santanu Mukherjee,Independent Director,bandhanbank
521,Subrata Dutta Gupta,Independent Director,bandhanbank
522,Holger Dirk Michaelis,Nominee Director,bandhanbank
523,Hasmukh Adhia,Non Executive Chairman,bankofbaroda
524,Shanti Lal Jain,Executive Director,bankofbaroda
525,Debadatta Chand,Executive Director,bankofbaroda
526,Srinivasan Sridhar,Shareholder Director,bankofbaroda
527,Amit Agrawal,Government Nominee Director,bankofbaroda
528,Sanjiv Chadha,Managing Director & CEO,bankofbaroda
529,Vikramaditya Singh Khichi,Executive Director,bankofbaroda
530,Ajay K Khurana,Executive Director,bankofbaroda
531,Soundara Kumar,Shareholder Director,bankofbaroda
532,Ajay Kumar,Nominee Director,bankofbaroda
533,Atanu Kumar Das,Managing Director & CEO,bankofindia
534,Swarup Dasgupta,Executive Director,bankofindia
535,Monika Kalia,Executive Director,bankofindia
536,Dakshita Das,Government Nominee Director,bankofindia
537,P R Rajagopal,Executive Director,bankofindia
538,M Karthikeyan,Executive Director,bankofindia
539,P N Prasad,Shareholder Director,bankofindia
540,Subrata Das,Nominee Director,bankofindia
541,A S Rajeev,Managing Director & CEO,bankmaharashtra
542,A B Vijayakumar,Executive Director,bankmaharashtra
543,R Thamodharan,Director,bankmaharashtra
544,Hemant Tamta,Executive Director,bankmaharashtra
545,Vandita Kaul,Director,bankmaharashtra
546,M K Verma,Director,bankmaharashtra
547,Pradip P Shah,Chairman,basfindia
548,Rajesh Naik,Whole Time Director,basfindia
549,Ramkumar Dhruva,Director,basfindia
550,Shyamala Gopinath,Director,basfindia
551,Narendranath J Baliga,Alternate Director,basfindia
552,Narayan Krishnamohan,Managing Director,basfindia
553,R A Shah,Director,basfindia
554,Arun Bewoor,Director,basfindia
555,Dirk Bremm,Director,basfindia
556,Pradeep Chandan,Alternate Director,basfindia
557,Ashwani Windlass,Chairman & Ind.Director,bataindia
558,Sandeep Kataria,WholeTime Director & CEO,bataindia
559,Vidhya Srinivasan,Director - Finance & CFO,bataindia
560,Shaibal Sinha,Non Executive Director,bataindia
561,Ravindra Dhariwal,Independent Director,bataindia
562,Ashok Kumar Barat,Independent Director,bataindia
563,Rajeev Gopalakrishnan,Managing Director,bataindia
564,Gunjan Shah,WholeTime Director & CEO,bataindia
565,Ram Kumar Gupta,Director - Finance & CFO,bataindia
566,Alberto Toni,Non Executive Director,bataindia
567,Akshay Chudasama,Independent Director,bataindia
568,Radha Rajappa,Independent Director,bataindia
569,Pankaj Patel,Chairman,bayercropscience
570,Rolf Hoffmann,Executive Director & CFO,bayercropscience
571,Jens Hartmann,Non Exe.Non Ind.Director,bayercropscience
572,Ketaki Bhagwati,Ind. Non-Executive Director,bayercropscience
573,Duraiswami Narain,VC & Mng.Director & CEO,bayercropscience
574,Thomas Hoffmann,Non Exe.Non Ind.Director,bayercropscience
575,Sekhar Natarajan,Ind. Non-Executive Director,bayercropscience
576,Amit Banerjee,Chairman & Managing Director,beml
577,Ajit Kumar Srivastav,Director,beml
578,Balmuri Vanitha,Independent Director,beml
579,M V Rajasekhar,Director,beml
580,Arvind Kumar Arora,Independent Director,beml
581,Puneet Agarwal,Government Nominee Director,beml
582,Kuldip Singh Dhingra,Chairman,bergerpaintsindia
583,Abhijit Roy,Managing Director & CEO,bergerpaintsindia
584,Rishma Kaur,Executive Director,bergerpaintsindia
585,Naresh Gujral,Independent Director,bergerpaintsindia
586,Anoop Kumar Mittal,Independent Director,bergerpaintsindia
587,Gurbachan Singh Dhingra,Vice Chairman,bergerpaintsindia
588,Kanwardip Singh Dhingra,Executive Director,bergerpaintsindia
589,Pulak Chandan Prasad,Independent Director,bergerpaintsindia
590,Sonu Halan Bhasin,Independent Director,bergerpaintsindia
591,Siddharth Mishra,Chairman & Managing Director,bharatdynamicsltd
592,N P Diwakar,Director - Technical,bharatdynamicsltd
593,M S R Prasad,Government Nominee Director,bharatdynamicsltd
594,P Radhakrishna,Director - Production,bharatdynamicsltd
595,N Srinivasalu,Director - Finance & CFO,bharatdynamicsltd
596,Chandraker Bharti,Government Nominee Director,bharatdynamicsltd
597,Dinesh Kumar Batra,Director - Finance & CFO,bharatelectronics
598,Vinay Kumar Katyal,Director,bharatelectronics
599,Sunil Kumar Kohli,Independent Director,bharatelectronics
600,J Manjula,Part Time Govt.Director,bharatelectronics
601,Anandi Ramalingam,Director - Marketing,bharatelectronics
602,M V Rajasekhar,Director - R & D,bharatelectronics
603,Anurag Bajpai,Part Time Govt.Director,bharatelectronics
604,B N Kalyani,Chairman & Managing Director,bharatforge
605,Amit B Kalyani,Deputy Managing Director,bharatforge
606,S E Tandale,Executive Director,bharatforge
607,P C Bhalerao,Non Executive Director,bharatforge
608,S M Thakore,Independent Director,bharatforge
609,P H Ravikumar,Independent Director,bharatforge
610,Dipak B Mane,Independent Director,bharatforge
611,G K Agarwal,Deputy Managing Director,bharatforge
612,B P Kalyani,Executive Director,bharatforge
613,Kishore M Saletore,Executive Director,bharatforge
614,Pratap G Pawar,Independent Director,bharatforge
615,Lalita D Gupte,Independent Director,bharatforge
616,Vimal R Bhandari,Independent Director,bharatforge
617,Murali G Sivaraman,Independent Director,bharatforge
618,Sunil Bharti Mittal,Chairman,bhartiairtel
619,Chua Sock Koong,Non Executive Director,bhartiairtel
620,Tao Yih Arthur Lang,Non Executive Director,bhartiairtel
621,Kimsuka Narasimhan,Independent Director,bhartiairtel
622,Manish Kejriwal,Independent Director,bhartiairtel
623,Nisaba Godrej,Independent Director,bhartiairtel
624,Gopal Vittal,Managing Director & CEO,bhartiairtel
625,Rakesh Bharti Mittal,Non Executive Director,bhartiairtel
626,V K Viswanathan,Independent Director,bhartiairtel
627,Dinesh Kumar Mittal,Independent Director,bhartiairtel
628,Shishir Priyadarshi,Independent Director,bhartiairtel
629,Nalin Shinghal,Chairman & Managing Director,bharatheavyelectricals
630,Anil Kapoor,Director - Human Resources,bharatheavyelectricals
631,Rajesh Sharma,Independent Director,bharatheavyelectricals
632,Manish Kapoor,Independent Director,bharatheavyelectricals
633,Jeetendra Singh,Part Time Official Director,bharatheavyelectricals
634,Subodh Gupta,Director - Finance,bharatheavyelectricals
635,Renuka Gera,Director,bharatheavyelectricals
636,Raj Kamal Bindal,Independent Director,bharatheavyelectricals
637,Shashank Priya,Part Time Official Director,bharatheavyelectricals
638,Siddharth Mittal,Managing Director & CEO,biocon
639,John Shaw,Vice Chairman & Non Exe.Dire,biocon
640,Mary Harney,Independent Director,biocon
641,Vijay Kuchroo,Independent Director,biocon
642,Bobby Kanubhai Parikh,Independent Director,biocon
643,Kiran Mazumdar Shaw,Executive Chairperson,biocon
644,Ravi Mazumdar,Non Executive Director,biocon
645,Daniel M Bradbury,Independent Director,biocon
646,M Damodaran,Independent Director,biocon
647,Harsh V Lodha,Chairman,birlacorporation
648,Vikram Swarup,Director,birlacorporation
649,Brij Behari Tandon,Director,birlacorporation
650,Deepak Nayyar,Director,birlacorporation
651,Dilip Ganesh Karnik,Director,birlacorporation
652,Arvind Pathak,Managing Director & CEO,birlacorporation
653,Anand Bordia,Director,birlacorporation
654,Dhruba Narayan Ghosh,Director,birlacorporation
655,Shailaja Chandra,Director,birlacorporation
656,Amita Birla,Chairman,birlasoft
657,Chandrakant Birla,Director,birlasoft
658,Anant Talaulicar,Independent Director,birlasoft
659,Nandita Gurjar,Independent Director,birlasoft
660,Dharmander Kapoor,Managing Director & CEO,birlasoft
661,Alka Bharucha,Independent Director,birlasoft
662,Ashok Kumar Barat,Independent Director,birlasoft
663,Sharad Upasani,Chairman,bluedartexpress
664,M McMahon,Director,bluedartexpress
665,Tulsi Nowlakha Mirchandaney,Director,bluedartexpress
666,R S Subramanian,Director,bluedartexpress
667,Sebastian Paebens,Additional Director,bluedartexpress
668,Balfour Manuel,Managing Director,bluedartexpress
669,Narendra Sarda,Director,bluedartexpress
670,Kavita Nair,Director,bluedartexpress
671,Florian Ulrich Bumberger,Additional Director,bluedartexpress
672,Shailesh Haribhakti,Chairman,bluestar
673,B Thiagarajan,Managing Director,bluestar
674,Dinesh N Vaswani,Non Executive Director,bluestar
675,Anil Harish,Independent Director,bluestar
676,Sam Balsara,Independent Director,bluestar
677,Vir S Advani,Vice Chairman & Mng.Director,bluestar
678,Sunaina Murthy,Non Executive Director,bluestar
679,Rajiv R Lulla,Non Executive Director,bluestar
680,Rumjhum Chatterjee,Independent Director,bluestar
681,Arvind K Singhal,Independent Director,bluestar
682,Nusli N Wadia,Chairman,bombayburmahtradingcorporation
683,Gauri Kirloskar,Director,bombayburmahtradingcorporation
684,Minnie Bodhanwala,Director,bombayburmahtradingcorporation
685,Y S P Thorat,Director,bombayburmahtradingcorporation
686,Ness N Wadia,Managing Director,bombayburmahtradingcorporation
687,Jehangir N Wadia,Director,bombayburmahtradingcorporation
688,Rajesh Batra,Director,bombayburmahtradingcorporation
689,Vinesh Kumar Jairath,Director,bombayburmahtradingcorporation
690,Markus Bamberger,"Chairman, Non Ind & Non Exe Director",bosch
691,S C Srinivasan,Joint Managing Director & CFO,bosch
692,Stefan Hartung,Non Exe.Non Ind.Director,bosch
693,Gopichand Katragadda,Independent Director,bosch
694,S V Ranganath,Independent Director,bosch
695,Karsten Mueller,Alternate Director,bosch
696,Soumitra Bhattacharya,Managing Director,bosch
697,Sandeep Nelamangala,Executive Director,bosch
698,Hema Ravichandar,Independent Director,bosch
699,Bhaskar Bhat,Independent Director,bosch
700,Pawan Kumar Goenka,Independent Director,bosch
701,K Padmakar,Chairman & Managing Director,bharatpetroleumcorporation
702,Arun Kumar Singh,Director - Marketing,bharatpetroleumcorporation
703,Rajesh Aggarwal,Government Nominee Director,bharatpetroleumcorporation
704,Harshadkumar P Shah,Independent Director,bharatpetroleumcorporation
705,Vetsa Ramakrishna Gupta,Director - Finance,bharatpetroleumcorporation
706,K Ellangovan,Government Nominee Director,bharatpetroleumcorporation
707,M R Jaishankar,Chairman & Managing Director,brigadeenterprises
708,Pavitra Shankar,Executive Director,brigadeenterprises
709,Roshin Mathew,Executive Director,brigadeenterprises
710,Bijou Kurien,Independent Director,brigadeenterprises
711,Venkatesh Panchapagesan,Independent Director,brigadeenterprises
712,Nirupa Shankar,Executive Director,brigadeenterprises
713,Amar Mysore,Executive Director,brigadeenterprises
714,Aroon Raman,Independent Director,brigadeenterprises
715,Lakshmi Venkatachalam,Independent Director,brigadeenterprises
716,Pradeep Kumar Panja,Independent Director,brigadeenterprises
717,M Suresh Kumar Reddy,Chairman & Managing Director,brightcomgroup
718,Surabhi Sinha,Independent Director,brightcomgroup
719,Allam Raghunath,Independent Director,brightcomgroup
720,Vijay Kancharla,Executive Director,brightcomgroup
721,K Jayalakshmi Kumari,Independent Director,brightcomgroup
722,Peshwa Acharya,Independent Director,brightcomgroup
723,Nusli N Wadia,Chairman,britanniaindustries
724,Avijit Deb,Director,britanniaindustries
725,Keki Dadiseth,Director,britanniaindustries
726,Ness N Wadia,Director,britanniaindustries
727,Y S P Thorat,Director,britanniaindustries
728,Tanya Dubash,Director,britanniaindustries
729,Varun Berry,Managing Director,britanniaindustries
730,Jeh N Wadia,Director,britanniaindustries
731,Ajai Puri,Director,britanniaindustries
732,Ajay Shah,Director,britanniaindustries
733,Keki Elavia,Director,britanniaindustries
734,Pankaj R Patel,Chairman,cadilahealthcare
735,Ganesh N Nayak,Executive Director,cadilahealthcare
736,Mukesh M Patel,Non Executive Director,cadilahealthcare
737,Dharmishtaben N Raval,Independent Woman Director,cadilahealthcare
738,Sharvil P Patel,Managing Director,cadilahealthcare
739,Bhadresh K Shah,Independent Director,cadilahealthcare
740,Nitin R Desai,Independent Director,cadilahealthcare
741,Apurva S Diwanji,Independent Director,cadilahealthcare
742,Lingam Venkata Prabhakar,Chairperson & Non Executive Director,canfinhomes
743,Amitabh Chatterjee,Deputy Managing Director,canfinhomes
744,Shubhalakshmi Aamod Panse,Ind. Non-Executive Director,canfinhomes
745,G Naganathan,Ind. Non-Executive Director,canfinhomes
746,Ajai Kumar,Ind. Non-Executive Director,canfinhomes
747,Girish Kousgi,Managing Director & CEO,canfinhomes
748,Debashish Mukherjee,Promoter Non-Exe.Director,canfinhomes
749,Satish Kumar Kalra,Ind. Non-Executive Director,canfinhomes
750,Yeluri Vijayanand,Ind. Non-Executive Director,canfinhomes
751,Lingam Venkata Prabhakar,Managing Director & CEO,canarabank
752,A Manimekhalai,Executive Director,canarabank
753,Debashish Mukherjee,Executive Director,canarabank
754,Bimal Prasad Sharma,Shareholder Director,canarabank
755,R Kesavan,Nominee Director,canarabank
756,K Satyanarayana Raju,Executive Director,canarabank
757,Brij Mohan Sharma,Executive Director,canarabank
758,Venkatachalam Ramakrishna Iyer,Shareholder Director,canarabank
759,Suchindra Misra,Government Nominee Director,canarabank
760,C C Paarthipan,Chairman,caplinpointlaboratories
761,V Thirumalai,Independent Director,caplinpointlaboratories
762,K C John,Independent Director,caplinpointlaboratories
763,C K Gariyali,Independent Director,caplinpointlaboratories
764,Sridhar Ganesan,Managing Director,caplinpointlaboratories
765,R Viswanathan,Independent Director,caplinpointlaboratories
766,D Sathyanarayanan,Independent Director,caplinpointlaboratories
767,D P Mishra,Director,caplinpointlaboratories
768,Rajesh Sharma,Managing Director,capriglobalcapital
769,Beni Prasad Rauka,Ind. Non-Executive Director,capriglobalcapital
770,Mukesh Kacker,Ind. Non-Executive Director,capriglobalcapital
771,Desh Raj Dogra,Ind. Non-Executive Director,capriglobalcapital
772,Ajay Kumar Relan,Non Exe.Non Ind.Director,capriglobalcapital
773,Bhagyam Ramani,Ind. Non-Executive Director,capriglobalcapital
774,Ajit Mohan Sharan,Ind. Non-Executive Director,capriglobalcapital
775,M M Murugappan,Chairman,carborundumuniversal
776,Sanjay Jayavarthanavelu,Director,carborundumuniversal
777,Sridharan Rangarajan,Director,carborundumuniversal
778,Sujjain S Talwar,Director,carborundumuniversal
779,N Ananthaseshan,Managing Director,carborundumuniversal
780,Aroon Raman,Director,carborundumuniversal
781,P S Raghavan,Director,carborundumuniversal
782,Soundara Kumar,Director,carborundumuniversal
783,R Gopalakrishnan,Chairman & Ind.Director,castrolindia
784,Deepesh Baxi,WholeTime Director & CFO,castrolindia
785,Sangeeta Talwar,Independent Director,castrolindia
786,Sashi Mukundan,Nominee Director,castrolindia
787,Udayan Sen,Nominee Director,castrolindia
788,Sandeep Sangwan,Managing Director,castrolindia
789,Uday Khanna,Independent Director,castrolindia
790,Rakesh Makhija,Independent Director,castrolindia
791,A S Ramchander,Nominee Director,castrolindia
792,Challa Rajendra Prasad,Executive Chairman,cclproductsindia
793,B Mohan Krishna,Executive Director,cclproductsindia
794,K K Sarma,Director,cclproductsindia
795,G V Krishna Rau,Director,cclproductsindia
796,Lanka Krishnanand,Director,cclproductsindia
797,Kosaraju Veerayya Chowdary,Director,cclproductsindia
798,Challa Srishant,Managing Director,cclproductsindia
799,Vipin K Singal,Director,cclproductsindia
800,K Chandrahas,Director,cclproductsindia
801,Kulsoom Noor Saifullah,Director,cclproductsindia
802,Kode Durga Prasad,Director,cclproductsindia
803,Challa Shantha Prasad,Director,cclproductsindia
804,H V Goenka,Chairman,ceat
805,Arnab Banerjee,Whole Time Director & COO,ceat
806,Paras K Chowdhary,Independent Director,ceat
807,Ranjit V Pandit,Independent Director,ceat
808,Pierre E Cohade,Independent Director,ceat
809,Anant Vardhan Goenka,Managing Director,ceat
810,Mahesh S Gupta,Independent Director,ceat
811,Haigreve Khaitan,Independent Director,ceat
812,Priya Nair,Independent Director,ceat
813,Pierre E Cohade,Independent Director,ceat
814,M V Rao,Managing Director & CEO,centralbankindia
815,Vivek Wahi,Executive Director,centralbankindia
816,Bhushan Kumar Sinha,Director,centralbankindia
817,Dinesh Pangtey,Director,centralbankindia
818,Alok Srivastava,Executive Director,centralbankindia
819,Rajeev Puri,Executive Director,centralbankindia
820,P J Thomas,Director,centralbankindia
821,Kumar Mangalam Birla,Chairman,centurytextilesindustries
822,R K Dalmia,Whole Time Director,centurytextilesindustries
823,Sohanlal K Jain,Independent Director,centurytextilesindustries
824,Yazdi P Dandiwala,Independent Director,centurytextilesindustries
825,J C Laddha,Managing Director,centurytextilesindustries
826,Rajan A Dalal,Independent Director,centurytextilesindustries
827,Rajashree Birla,Non Executive Director,centurytextilesindustries
828,Preeti Vyas,Independent Director,centurytextilesindustries
