Date,Open,High,Low,Close,Volume
2022-11-17,17.0,17.25,16.9,16.95,89810845.0
2022-11-18,16.95,17.05,16.7,16.85,47492598.0
2022-11-21,16.85,16.95,16.5,16.65,65235362.0
2022-11-22,16.65,17.4,16.65,17.05,124194131.0
2022-11-23,17.05,17.15,16.8,16.85,49441045.0
2022-11-24,16.9,17.0,16.85,16.95,41585061.0
2022-11-25,16.95,17.2,16.75,16.95,103021350.0
2022-11-28,16.95,17.55,16.9,17.15,154681795.0
2022-11-29,17.2,17.3,17.0,17.05,64478352.0
2022-11-30,17.1,17.35,16.95,17.15,126117843.0
2022-12-01,17.2,17.3,17.0,17.05,49791930.0
2022-12-02,17.3,17.9,17.25,17.4,292355548.0
2022-12-05,17.6,17.8,17.35,17.45,138780670.0
2022-12-06,17.35,17.9,17.3,17.5,157373790.0
2022-12-07,17.5,17.65,17.35,17.45,132599554.0
2022-12-08,17.5,17.8,17.45,17.75,151748493.0
2022-12-09,17.7,20.5,17.65,19.7,1322003621.0
2022-12-12,19.95,21.4,19.65,21.1,919584556.0
2022-12-13,21.5,24.35,21.45,23.95,1288049180.0
2022-12-14,24.05,24.75,21.9,22.1,1225305753.0
2022-12-15,22.0,22.9,21.45,22.45,568038558.0
2022-12-16,22.2,22.45,21.05,21.2,483675727.0
2022-12-19,21.5,22.1,21.25,21.4,333082150.0
2022-12-20,21.35,21.5,20.6,21.3,294564961.0
2022-12-21,21.45,21.65,19.65,19.85,369893062.0
2022-12-22,20.05,20.2,18.85,18.95,387642459.0
2022-12-23,18.55,18.9,17.25,17.45,401631548.0
2022-12-26,17.6,19.95,17.55,19.6,553301260.0
2022-12-27,20.2,20.7,19.6,20.15,525572234.0
2022-12-28,20.15,20.7,19.65,20.15,411993069.0
2022-12-29,19.9,20.35,19.75,20.15,258614432.0
2022-12-30,20.5,20.85,20.3,20.6,290592965.0
2023-01-02,20.85,22.1,20.75,21.65,495265210.0
2023-01-03,21.9,22.25,21.75,22.05,339801604.0
2023-01-04,22.2,22.4,20.9,21.35,395137176.0
2023-01-05,21.5,21.7,21.15,21.45,207055994.0
2023-01-06,21.6,21.75,20.95,21.1,221378840.0
2023-01-09,21.4,21.5,21.05,21.25,133642156.0
2023-01-10,21.2,21.2,20.35,20.65,217605501.0
2023-01-11,20.65,20.65,20.0,20.05,180768626.0
2023-01-12,20.1,20.15,19.65,19.9,206504664.0
2023-01-13,19.9,20.3,19.65,20.15,177999521.0
2023-01-16,20.45,20.55,20.05,20.15,136916066.0
2023-01-17,20.2,20.2,19.95,20.1,78608576.0
2023-01-18,20.15,20.45,20.0,20.35,97888455.0
2023-01-19,20.25,20.35,20.05,20.15,84048843.0
2023-01-20,20.15,20.15,19.65,19.75,132306803.0
2023-01-23,17.75,18.6,17.45,18.15,461080397.0
2023-01-24,18.2,18.5,18.1,18.2,158031026.0
2023-01-25,18.2,18.2,17.55,17.9,169888903.0
2023-01-27,18.2,18.2,17.3,17.5,186338397.0
2023-01-30,17.5,17.9,17.0,17.1,210890783.0
2023-01-31,17.1,17.6,16.75,17.25,172354037.0
2023-02-01,17.3,17.55,16.65,16.9,165385637.0
2023-02-02,16.85,17.25,16.7,16.85,123967342.0
2023-02-03,16.95,17.15,16.15,16.45,156969022.0
2023-02-06,16.5,17.0,16.4,16.65,208869003.0
2023-02-07,16.7,16.95,16.55,16.85,92270861.0
2023-02-08,16.95,17.35,16.75,17.1,125682040.0
2023-02-09,17.15,17.15,16.75,16.85,77906475.0
2023-02-10,16.8,17.3,16.7,17.05,148680021.0
2023-02-13,17.05,17.15,16.55,16.7,177648359.0
2023-02-14,16.75,16.85,16.25,16.4,67042640.0
2023-02-15,16.3,16.5,16.2,16.4,69598730.0
2023-02-16,16.4,16.5,16.2,16.25,66369663.0
2023-02-17,16.25,16.35,16.0,16.1,60097807.0
2023-02-20,16.2,16.75,16.1,16.6,173752454.0
2023-02-21,16.75,17.0,16.45,16.7,173188893.0
2023-02-22,16.65,16.7,16.1,16.3,106084194.0
2023-02-23,16.25,16.55,16.15,16.4,74749112.0
2023-02-24,16.45,16.55,16.1,16.15,88544284.0
2023-02-27,16.15,16.55,16.0,16.4,94589990.0
2023-02-28,16.4,17.65,16.3,17.45,212755636.0
2023-03-01,17.55,18.4,17.55,18.3,282273280.0
2023-03-02,18.4,18.6,17.3,17.5,246207153.0
2023-03-03,17.5,17.7,16.8,16.85,269921902.0
2023-03-06,16.8,17.25,16.5,16.9,166703741.0
2023-03-08,16.85,16.85,16.4,16.7,99406365.0
2023-03-09,16.65,16.95,16.5,16.55,99557952.0
2023-03-10,16.4,16.75,16.3,16.5,93220422.0
2023-03-13,14.4,16.3,14.4,15.65,560565493.0
2023-03-14,15.7,15.95,15.45,15.55,179730170.0
2023-03-15,15.5,15.85,15.3,15.35,139128847.0
2023-03-16,15.35,15.35,14.8,14.9,207783632.0
2023-03-17,15.0,15.85,14.5,15.05,445464706.0
2023-03-20,15.4,15.5,15.0,15.35,297633356.0
2023-03-21,15.45,15.55,15.15,15.25,185863476.0
2023-03-22,15.3,15.5,15.2,15.3,139692815.0
2023-03-23,15.25,15.4,14.9,15.2,124581123.0
2023-03-24,15.05,15.25,15.0,15.05,93654254.0
2023-03-27,15.1,15.3,15.0,15.05,131495843.0
2023-03-28,15.1,15.15,14.7,14.75,87761633.0
2023-03-29,14.8,15.1,14.75,14.95,111967037.0
2023-03-31,15.0,15.2,14.95,15.05,101307931.0
2023-04-03,15.1,15.45,15.05,15.35,80090577.0
2023-04-05,15.45,15.55,15.15,15.25,57795927.0
2023-04-06,15.25,15.6,15.2,15.4,69023622.0
2023-04-10,15.45,15.45,15.15,15.2,58424414.0
2023-04-11,15.25,15.4,15.15,15.2,43019043.0
2023-04-12,15.25,15.5,15.15,15.4,57667885.0
2023-04-13,15.5,15.55,15.2,15.35,76131404.0
2023-04-17,15.35,15.4,15.25,15.35,61971667.0
2023-04-18,15.35,16.8,15.3,16.65,346144836.0
2023-04-19,16.8,17.3,16.4,16.55,267886872.0
2023-04-20,16.6,16.75,16.45,16.5,93150119.0
2023-04-21,16.6,16.6,16.1,16.2,86456901.0
2023-04-24,15.5,16.0,15.5,15.7,163198015.0
2023-04-25,15.75,15.8,15.45,15.55,99104709.0
2023-04-26,15.5,15.95,15.4,15.5,128851297.0
2023-04-27,15.5,15.7,15.5,15.6,41936192.0
2023-04-28,15.65,15.85,15.6,15.7,79514507.0
2023-05-02,15.75,16.1,15.7,15.95,117555064.0
2023-05-03,15.95,16.4,15.85,16.15,83692417.0
2023-05-04,16.2,16.3,16.0,16.05,85512962.0
2023-05-05,16.0,16.15,15.9,15.95,47642044.0
2023-05-08,16.0,16.2,15.95,16.1,59725157.0
2023-05-09,16.1,16.25,16.0,16.1,76780928.0
2023-05-10,16.05,16.15,15.8,15.95,77871060.0
2023-05-11,16.0,16.15,15.95,16.1,49450726.0
2023-05-12,16.1,16.15,15.8,15.95,58478892.0
2023-05-15,15.95,16.0,15.75,15.85,44787937.0
2023-05-16,15.9,16.15,15.8,15.9,95893603.0
2023-05-17,15.95,16.05,15.85,15.9,85822286.0
2023-05-18,15.95,16.0,15.65,15.7,60436667.0
2023-05-19,15.75,15.8,15.55,15.65,53851070.0
2023-05-22,15.7,15.8,15.6,15.65,41531446.0
2023-05-23,15.65,15.75,15.5,15.55,49358138.0
2023-05-24,15.55,15.7,15.5,15.6,45339237.0
2023-05-25,15.55,15.75,15.5,15.5,67397531.0
2023-05-26,15.55,15.65,15.5,15.6,34064577.0
2023-05-29,15.65,16.2,15.6,15.9,127417730.0
2023-05-30,16.0,16.05,15.75,15.9,77893859.0
2023-05-31,15.9,16.5,15.7,16.2,223440763.0
2023-06-01,16.25,16.65,16.25,16.3,85940004.0
2023-06-02,16.35,16.5,16.3,16.4,113767784.0
2023-06-05,16.4,16.5,16.05,16.15,39525286.0
2023-06-06,16.15,16.15,15.95,16.0,39361694.0
2023-06-07,16.05,16.3,16.0,16.15,52628264.0
2023-06-08,16.2,17.2,16.15,16.75,307712828.0
2023-06-09,16.75,16.95,16.5,16.6,114417447.0
2023-06-12,16.6,16.6,16.35,16.4,53269073.0
2023-06-13,16.45,16.7,16.35,16.4,61321328.0
2023-06-14,16.5,16.6,16.1,16.2,99586254.0
2023-06-15,16.2,16.35,15.95,16.1,56035794.0
2023-06-16,16.15,16.45,16.0,16.3,79705305.0
2023-06-19,16.4,16.75,16.1,16.25,127260482.0
2023-06-20,16.3,16.4,16.15,16.25,62344783.0
2023-06-21,16.25,16.35,16.15,16.2,43815628.0
2023-06-22,16.2,16.3,15.95,16.0,52482954.0
2023-06-23,16.0,16.1,15.9,16.0,42620606.0
2023-06-26,16.05,16.35,16.0,16.1,69419649.0
2023-06-27,16.15,16.25,16.0,16.05,35114512.0
2023-06-28,16.1,16.35,15.95,16.2,63502734.0
2023-06-30,16.25,16.35,16.15,16.25,69541563.0
2023-07-03,16.35,16.55,16.3,16.35,108321412.0
2023-07-04,16.4,17.2,16.25,16.8,323137498.0
2023-07-05,16.85,17.45,16.8,17.15,214341757.0
2023-07-06,17.25,17.95,17.25,17.8,264919299.0
2023-07-07,17.85,17.95,17.3,17.45,248157506.0
2023-07-10,17.3,17.5,17.0,17.05,104189506.0
2023-07-11,17.2,17.5,17.05,17.2,152871399.0
2023-07-12,17.2,17.65,17.15,17.3,131237755.0
2023-07-13,17.4,17.75,17.05,17.15,125488334.0
2023-07-14,17.25,17.45,17.15,17.35,84745330.0
2023-07-17,17.5,17.85,17.45,17.7,172530419.0
2023-07-18,17.7,17.9,17.35,17.5,165941309.0
2023-07-19,17.5,17.6,17.3,17.45,107842846.0
2023-07-20,17.4,18.1,17.35,17.7,214353303.0
2023-07-21,17.7,18.2,17.6,18.05,242664132.0
2023-07-24,18.4,18.45,17.3,17.4,274651589.0
2023-07-25,17.4,17.6,16.95,17.05,112478211.0
2023-07-26,17.05,17.15,16.65,17.0,113833184.0
2023-07-27,17.05,17.35,16.9,16.95,89067183.0
